SHA-256,Filename,Description
38ed248501bd35cd140f8376ac42e2c5a46ed4ec71cff0cec290fbc93678f323,FiCas AG Job Description.lnk,Black Alicanto malicious double-extension LNK file.
b3646d8cbadc7620ca7782f2525cc019740a3088f32e2ea9a6c97cc1432537b0,Celsius Opportunities.gdoc.lnk,Black Alicanto malicious double-extension LNK file.
153ddf3f9698c0944b30daec1612139e90f66f3753299ded057cbd106d0bf63d,Opportunities from eTor.lnk,Black Alicanto malicious double-extension LNK file.
1ea8699dc216353ba29c5d3ca7fcbca59c02ca5969a554faf08f8aa0488e6a6f,Major Security Bugs.pdf.lnk,Black Alicanto malicious double-extension LNK file.
2ab005024e9b36721c96ba6fe15974a5b980b3aca5cfeeb7b973115c9f179b77,New Profit Distribution.pdf.lnk,Black Alicanto malicious double-extension LNK file.
825c84154c85b2f8213aaa7902f015c4478ddcd3172c48542688be2675d6e305,Profit and Loss Statement.xlsx.lnk,Black Alicanto malicious double-extension LNK file.
96caa8b43589c1e768f3a0910df15eb9fd86ac69646858a78b0b91c35c1a5c07,Security Bugs in Operation.pdf.lnk,Black Alicanto malicious double-extension LNK file.
51eaf8af57211f8d9e534f98413e71f4ddf5abcce806a111fc49a30d3bcec696,Exchange Project Management Plan_Q3.2021.pdf.lnk,Black Alicanto malicious double-extension LNK file.
9973848877ce1f81bf1e86e3fac82c71f9a05793daf1e7b66aed9e06b7be12b8,Exchange Project Management Plan_Q3.2021.pdf.lnk,Black Alicanto malicious double-extension LNK file.
e9894893a8a1f74d7d6a8768dda9ef5ddaf8aac18634a1110e9a79652c9f13ee,Multicoin Capital Opportunities.pdf.lnk,Black Alicanto malicious double-extension LNK file.
8afdf8513a6e3bede16187004daccc95e193a29062415d9ba0c29b98a5a927d1,Security Bugs in rigs.pdf.lnk,Black Alicanto malicious double-extension LNK file.
01184a5acb8b3ec56c9e90f2e6cd6673ae83b4fd6982e17329b33da2f77bcf5b,Security Bugs in rigs.lnk,Black Alicanto malicious LNK file.
353f82475fcfad5b3f06ed85a931bda46ec34279793b5d70085aa8c603e8ebec,password.txt.lnk,Black Alicanto malicious LNK file.
a6d614ec8d8135a7250d76d6c575da0de69efd862ea936af66a3cabb50e50789,password.txt.lnk,Black Alicanto malicious LNK file.
ac7b6ca73207db6ec6d4af2632a7c842c32af6658e3214753e589b567d809125,password.txt.lnk,Black Alicanto malicious LNK file.
c31cbb849b8562a7c2801724c2a03369be7b459ff789c451e432844da5d47101,password.txt.lnk,Black Alicanto malicious LNK file.
a042bfeee49345d514c274e5f44da374eb0875da4a5671e8bf67005078c076fd,password.txt.lnk,Black Alicanto malicious LNK file.
44759678842d930ca4251413f185d0a009b2da52dcdd45decf0daed5c78a97e9,Assist.lnk,Black Alicanto malicious LNK file.
928e92a0d08fab2e19bb07601f4904f60ed265a9f030d938c5a5454b4ed69af7,Assist.lnk,Black Alicanto malicious LNK file.
689ea0e58022b86655596c946591a5b99b051f96e5cb0b0fd60dea302bbf91d2,UserAssist.lnk,Black Alicanto malicious LNK file.
bce448c7b618496741375f01c9aa8824ce65b637c9d91d98c55d693305ff395e,UserAssist.lnk,Black Alicanto malicious LNK file.
6b0a93826b47e2b96fd79f19d02d9be1034958b30ef246ae57612b84c2ff5041,UserAssist.lnk,Black Alicanto malicious LNK file.
6cc98355f46b057b50bbf45cb9ad20408942f88cc12bb20293e5650936a1c925,UserAssist.lnk,Black Alicanto malicious LNK file.
9d6fdb5344f64e059043980c5bb80e9c8986f1a5a62d7d7871144b388df65262,n/a,Black Alicanto malicious LNK file.
1e154b2976cc00d457c0dc2b83ebe81911294c8276691617085c03a3304fd87f,n/a,Black Alicanto malicious LNK file.
52e9361cfec3bc643f5ac715709e1818766e1790c7f83e93e3ee7cc96fd1a473,n/a,Black Alicanto malicious LNK file.
80bceed23c3bd2999adaca3190388fc4d69360486f931099e3684434e4968850,n/a,Black Alicanto malicious LNK file.
9ff5f1c94ea9e9334d39c1a92c07a34eeb45cdf254f7061bd64d9814a7941689,n/a,Black Alicanto malicious LNK file.
4228efa547d22dcf38c44243e1e468a2ded17d4997b728ebf88c79d12346fca4,n/a,Black Alicanto malicious LNK file.
10d83ed487de6ddbd99011f405006efbd415e24037cfd9c724628decffd5aadd,n/a,Black Alicanto malicious LNK file.
0b8d7a851920d4584777505f9fb484b226a8457d4049885a87c847f7d3532d28,n/a,Black Alicanto malicious LNK file.
bd0042ddf179669f532ca8eb02ce148529246ae7ac64ee4ec1c2be7022e5ad99,n/a,Black Alicanto malicious LNK file.
cd1e69a0849f284e47f3533e1b7882491f74fe153784f4030bba7ea31675d402,n/a,Black Alicanto CabbageLoader sample.
db13c39eee69f8a5e17894385b538706a32a20a7c68a6841b83a129165f731e7,n/a,Black Alicanto CabbageLoader sample.
1d20202ad6ce59752f1be7eb2af86cb1e117ea995e1badb7ee925888113914a9,n/a,Black Alicanto CabbageLoader sample.
7029627a26f791fe28d2776b72442c4a224c378395e97f8b9233ee2f22192ece,n/a,Black Alicanto CabbageLoader sample.
b77cb5b40676bdf65d19b7a033c615a724d42f397ba346e324a2f6fae7d9d412,n/a,Black Alicanto CabbageLoader sample.
5f4f52d3898918e9f93e338b69197e02608adb47adffd4af5da8723a13a29e86,n/a,Black Alicanto CabbageLoader sample.
bc52f587f1dab46a08ea3332dc08863cd0af574128cf82511486ab2adf3c3064,n/a,Black Alicanto CabbageLoader sample.
0f51603049100d4f0a606c1cf12391198b6ccc0f9103b3d4f492884df4be4297,n/a,Black Alicanto CabbageLoader sample.
4e4215b83c5f7bcf8809397ba01a0cfbb582253881d851248fff779986e42b3f,n/a,Black Alicanto CabbageLoader sample.
918d79794cfae95eba1a5074232e6a65d9b88d5479854eabeb5e6abf85cd70ca,n/a,Black Alicanto CabbageLoader sample.
79980e7df0dac3f73aab74ec45cd560281eb2697f5f92ab60b4a812d138f2479,n/a,Black Alicanto CabbageLoader sample.
f7d012f4d415c3daedf568d93257b9c4ffc7f4071271ad53df173957de1ef719,n/a,Black Alicanto CabbageLoader sample.
7d51f880113bf8a68663ac72fed8cc2af4c412a894fb6f57f1ff6ec7923cb3fb,n/a,Black Alicanto CabbageLoader sample.
2c7c4f8c9480d5fe2095db6305f3c6e750ec7ebbd234129945907e4f022ddd11,n/a,Black Alicanto CabbageLoader sample.
fc3a07a8c01045b5808296e1b51f3534c69072e8ccb4f5486c56c18ca9a998f1,n/a,Black Alicanto CabbageLoader sample.
ec3456af3af6f07bfa05f2a7fb9e51464a90d3b742efbb8e2822ddd3798efb5e,n/a,Black Alicanto CabbageLoader sample.
8085abaa8070912cbed87d57f420129be1de1d9d62c8129b96131a3c6d8eb3b3,n/a,Black Alicanto CabbageLoader sample.
be8b81a2929afea1781a0fc4075e5484f2d6290f87a2354cb6b34a749e8f8efd,n/a,Black Alicanto CabbageLoader sample.
025b5bd6e4d2eee108a9e515bc95e911d70f73e885f2b5d8b2441207cba32bee,n/a,Black Alicanto CabbageLoader sample.
01039658aad5875bce9bc22087435ddbcd36da7707187d35b23b833a41f663e7,n/a,Black Alicanto CabbageLoader sample.
2a39c40a2607943f62b842f9f7c4c4651e1cfb93259c35c113cb4cfc7320b280,n/a,Black Alicanto CabbageLoader sample.
2f6c0db186815e13c823e85532513a9fb139195ec13b6f28d941f26d0a582652,n/a,Black Alicanto CabbageLoader sample.
de83dc290a228269b0eb3c8746d75395e90ac0ce3ffc9908e6d321c493016b50,n/a,Black Alicanto CabbageLoader sample.
67dce91e18ca1deca188ea8a756ed08431b829bb2399e4cb39156a43f89dea68,n/a,Black Alicanto CabbageLoader sample.
034cf176ed9aae148e057a5298d8cbf93c13522039a448fffd0848a590236d0d,n/a,Black Alicanto CabbageLoader sample.
1b9224a950584f736c81d5a803132cd99a422d7a1651d9e2ece52466cedda4d3,n/a,Black Alicanto CabbageLoader sample.
c515fa70181153fe09e9f8bd904077b62c05c9eb71b876c15f8b153647f95a3b,n/a,Black Alicanto CabbageLoader sample.
f7c1eb9c220b982ed404e2379810e90d0340a67572023cde06974bbf03780c67,n/a,Black Alicanto CabbageLoader sample.
